Property_ID,Included_SPF_analysis,Excluded_SPF_analysis_reason,Whole_dataset_start,Whole_dataset_end,Whole_dataset_duration_days,Cleansed_dataset_start,Cleansed_dataset_end,Cleansed_dataset_duration_days,Selected_window_start,Selected_window_end,Max_quality_score_selected_window,Mean_quality_score_selected_window,SPFH2_selected_window,SPFH3_selected_window,SPFH4_selected_window,Whole_System_Energy_Consumed_selected_window,HP_Energy_Output_selected_window,IH_Energy_Consumed_selected_window,BUH_Energy_Consumed_selected_window,CP_Energy_Consumed_selected_window,Boiler_Energy_Output_selected_window,Difference_SPFH2_SCOP,Proportional_difference_SPFH2_SCOP,Ratio_SPFH2_SCOP,Mean_annual_SH_flow_temp_selected_window,Mean_annual_HW_flow_temp_selected_window,Mean_annual_Return_temp_selected_window,Winter_mean_SH_flow_temp_selected_window,Winter_mean_return_temp_selected_window,Max_SH_flow_temp_selected_window,Flow_>65C_flag_selected_window,Proportion_flow_>65C_selected_window,Temp_cleaning_outcome,SW_proportion_complete_Whole_System_Energy_Consumed,SW_proportion_complete_HP_Energy_Output,SW_proportion_complete_IH_Energy_Consumed,SW_proportion_complete_BUH_Energy_Consumed,SW_proportion_complete_CP_Energy_Consumed,SW_proportion_complete_Boiler_Energy_Output,Acceptable_windows_count,Acceptable_windows_SPFH2_mean,Acceptable_windows_SPFH2_std,Acceptable_windows_SPFH2_median,Acceptable_windows_SPFH3_mean,Acceptable_windows_SPFH3_std,Acceptable_windows_SPFH3_median,Acceptable_windows_SPFH4_mean,Acceptable_windows_SPFH4_std,Acceptable_windows_SPFH4_median,Included_coldest_day_analysis,Coldest_day_start,Coldest_day_COPH4,Coldest_day_External_Air_Temp_mean,Coldest_day_External_Air_Temp_max,Coldest_day_External_Air_Temp_min,Coldest_day_Internal_Air_Temp_mean,Coldest_day_Internal_Air_Temp_max,Coldest_day_Internal_Air_Temp_min,Coldest_day_Whole_System_Energy_Consumed,Coldest_day_HP_Energy_Output,Coldest_day_IH_Energy_Consumed,Coldest_day_BUH_Energy_Consumed,Coldest_day_CP_Energy_Consumed,Coldest_day_Boiler_Energy_Output,CD_proportion_complete_Whole_System_Energy_Consumed,CD_proportion_complete_HP_Energy_Output,CD_proportion_complete_IH_Energy_Consumed,CD_proportion_complete_BUH_Energy_Consumed,CD_proportion_complete_CP_Energy_Consumed,CD_proportion_complete_Boiler_Energy_Output
EOH0031,TRUE,,26/02/2021 14:16,28/09/2023 23:58,944.4,26/02/2021 14:18,28/09/2023 23:56,944.4,21/05/2021,21/05/2022,0,0,2.94,2.94,2.901,6045.89,17540.01,0,0,80.11,,-0.71,-19.45,1.24,40.46,42.58,35.09,41.99,37.07,74.33,TRUE,0.00049,cleaned,0.999,0.999,,,0.999,,578,2.86,0.077,2.9,2.86,0.077,2.9,2.822,0.076,2.861,TRUE,13/12/2022 00:00,2.372,-6.42,-2.6,-8.37,21.52,21.91,20.61,39.41,93.46,0,0,0.6,,1,1,,,1,
EOH0033,TRUE,,07/07/2021 10:50,28/09/2023 23:58,813.55,07/07/2021 10:50,28/09/2023 23:56,813.55,31/08/2021,31/08/2022,2,0.001,2.649,2.649,2.52,4346.23,10954.2,0,0,211.23,,-1.561,-37.07,1.59,42.27,45.28,39.37,45.17,41.61,77.08,TRUE,0.00159,cleaned,0.999,0.999,,,0.999,,310,2.183,0.372,1.868,2.183,0.372,1.868,2.085,0.352,1.788,TRUE,28/11/2021 00:00,2.307,0.35,3.2,-2.78,18.72,20.56,17.62,46.38,107.01,0,0,1.5,,1,1,,,1,
EOH0034,FALSE,Less than 1yr data available,25/05/2021 14:22,31/03/2022 23:58,310.4,25/05/2021 14:24,31/03/2022 23:56,310.4,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,TRUE,04/01/2022 00:00,2.72,-0.99,0.59,-3.3,17.21,19.5,15.55,11.58,31.52,0,0,0.31,,1,1,,,1,
EOH0038,TRUE,,17/08/2021 12:52,20/08/2023 23:58,733.46,17/08/2021 12:54,20/08/2023 23:56,733.46,20/08/2022,20/08/2023,3.3,0.128,3.019,3.019,2.942,1281.97,3771.82,0,0,32.75,,-0.751,-19.91,1.25,38.41,42.6,33.45,40.51,34.96,69.64,TRUE,0.00044,cleaned,0.98,0.98,,,0.98,,361,2.802,0.165,2.82,2.802,0.165,2.82,2.667,0.209,2.668,TRUE,13/12/2022 00:00,2.71,-1.35,1.62,-4.46,13.26,14.8,12.67,16.93,45.86,0,0,0.35,,1,1,,,1,
EOH0043,FALSE,Less than 1yr data available,28/06/2021 12:44,14/06/2022 23:58,351.47,28/06/2021 12:46,14/06/2022 23:56,351.47,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,TRUE,28/11/2021 00:00,2.839,0.35,3.2,-2.78,20.06,21.69,17.51,33.98,96.46,0,0,0.24,,1,1,,,1,
EOH0047,TRUE,,07/05/2021 11:04,28/09/2023 23:58,874.54,07/05/2021 11:06,28/09/2023 23:56,874.53,13/07/2022,13/07/2023,1,0,3.132,3.132,3.011,7088.01,21341.22,0,0,274.48,,-0.778,-19.89,1.25,34.92,34.91,31.28,37.28,32.8,72.11,TRUE,0.00002,cleaned,0.999,0.999,,,0.999,,442,3.042,0.156,3.13,3.042,0.156,3.13,2.937,0.136,3.009,TRUE,13/12/2022 00:00,2.028,-5.52,-2.97,-7.94,17.52,19.13,15.98,65.7,133.28,0,0,0.77,,1,1,,,1,
EOH0048,TRUE,,22/09/2021 15:06,28/09/2023 23:58,736.37,28/09/2021 00:00,28/09/2023 23:56,731,09/08/2022,09/08/2023,2,0,3.095,3.035,2.904,4456.59,12820.7,121.07,0,192.93,,-0.715,-18.77,1.23,41.93,44.5,36.02,44.03,37.87,62.42,FALSE,0,cleaned,0.999,0.999,0.999,,0.999,,355,3.12,0.031,3.11,3.082,0.044,3.071,2.944,0.037,2.935,TRUE,13/12/2022 00:00,1.981,-8.28,-4.1,-10.91,17.65,18.48,16.83,66.69,131.24,0.85,0,1.25,,1,1,1,,1,
EOH0063,TRUE,,26/03/2021 09:10,26/09/2023 11:18,914.09,26/03/2021 09:12,26/09/2023 11:16,914.09,31/05/2022,31/05/2023,2,0.001,2.922,2.87,2.723,3210.18,8660.02,81.65,0,164.43,,-0.598,-17,1.2,33.03,35.75,30.36,35.35,32.75,59.85,FALSE,0,cleaned,0.998,0.998,0.998,,0.998,,535,2.958,0.03,2.964,2.912,0.035,2.918,2.763,0.034,2.769,TRUE,13/12/2022 00:00,2.373,-5.52,-2.97,-7.94,18.42,19.73,16.11,30.53,70.44,2.02,0,1.14,,1,1,1,,1,
EOH0065,TRUE,,04/03/2021 16:46,28/09/2023 23:58,938.3,04/03/2021 16:48,28/09/2023 23:56,938.3,05/05/2021,05/05/2022,0,0,3.346,3.346,3.314,2280.97,7559.76,0,0,21.32,,-0.304,-8.34,1.09,36.29,39.62,32.56,38.26,34.18,75.53,TRUE,0.00035,cleaned,1,1,,,1,,555,3.374,0.035,3.378,3.374,0.035,3.378,3.339,0.032,3.341,TRUE,13/12/2022 00:00,2.642,-6.42,-2.6,-8.37,19.21,20.34,18.46,23.39,61.81,0,0,0.18,,1,1,,,1,
EOH0066,TRUE,,26/08/2021 13:46,28/09/2023 23:58,763.43,26/08/2021 13:48,28/09/2023 23:56,763.42,04/09/2022,04/09/2023,2,0.081,4.167,4.167,3.9,1773.26,6915.52,0,0,113.6,,0.257,6.57,0.94,28.86,29.9,26.49,30.05,27.53,58.39,FALSE,0,cleaned,0.959,0.959,,,0.959,,379,3.989,0.208,4.097,3.989,0.208,4.097,3.763,0.164,3.848,TRUE,12/12/2022 00:00,3.628,-3.87,-0.32,-5.95,13.53,13.63,13.12,14.13,51.25,0,0,0.83,,1,1,,,1,
