Index;year1;year2;year3;year4;year5;year6;year7;year8
34.0;-1206.2934537035783;-2723.157056995911;-4662.352128284861;-6101.132193367505;-7441.558324246191;-10768.846496056902;-16161.466277413994;-19178.60478620977
36.0;-1149.0399160722436;-2600.0057180881076;-4457.325808160185;-5828.416159871032;-7113.146003617796;-10308.959667332112;-15384.859288727186;-18282.14341342422
38.0;-1091.622169482973;-2476.6660344283814;-4252.093625914957;-5555.059653339727;-6783.817787601403;-9847.411869556732;-14599.991199467135;-17374.604328211197
32.0;-1263.6046978552854;-2846.4476826795517;-4867.60813890764;-6374.187515985255;-7770.339020409211;-11229.222820207244;-16939.08647568649;-20076.001224455224
39.0;-1063.906176654626;-2416.994257644024;-4161.404734828896;-5438.499690253418;-6642.064864628254;-9648.362617330047;-14278.76788149786;-16998.393517429675
33.0;-1235.8401697784257;-2786.8686668309742;-4777.175161805778;-6257.670108845412;-7628.4107829511895;-11029.491538171686;-16611.643055074488;-19690.598776486302
35.0;-1178.5285222400737;-2663.5764520383245;-4571.916612123001;-5984.613057960838;-7299.62699930858;-10569.110727504618;-15833.994805716535;-18793.179666646483
37.0;-1121.2171485225488;-2540.2891719678873;-4366.666151060074;-5711.563521007022;-6970.85483740039;-10108.750850343378;-15056.426921475457;-17895.842880682998
