timestamp,value
1,0.0
2,760.8656251527345
3,760.8656251527345
4,776.764480749428
5,795.9484026503933
6,848.9445879727041
7,995.6913737230402
8,1384.2944125106214
9,1784.4266364752775
10,1658.1159507343464
11,1589.2142528395707
12,1537.851044691135
13,1478.9649380304618
14,1377.879539262176
15,1351.464188918948
16,1338.9709874291439
17,1373.7188192166213
18,1402.0667515889327
19,1478.7725465850417
20,1576.7735955586832
21,1586.6700874001835
22,1575.0263821926164
23,1516.1194921672468
24,1346.745009247763
25,1003.2264643342351
26,859.9936504573307
27,885.5323607154569
28,902.5403684507619
29,928.0612796054484
30,976.1297623816208
31,1123.0463363401577
32,1538.1598173954553
33,1997.3326223223194
34,1845.9650133523173
35,1784.3038352911171
36,1723.1015496210384
37,1664.8961312382598
38,1482.1605019812268
39,1454.914860796358
40,1442.5333467562814
41,1478.6011595176242
42,1508.1818015932586
43,1591.772202486638
44,1680.1248894901437
45,1685.685833495525
46,1668.9517720434305
47,1614.2689127456833
48,1435.0831263168366
49,1090.7084128340066
50,929.0396259296685
51,930.9479419274139
52,948.0990914391732
53,973.8268927280878
54,1030.9973911006382
55,1184.404296721841
56,1572.3544263207732
57,2024.241033295184
58,1872.3808136659645
59,1820.448472980861
60,1763.905351557507
61,1710.4001483096945
62,1535.970607982541
63,1508.4143302803714
64,1495.9556305317528
65,1537.0395731764438
66,1562.424800487046
67,1651.5401299846271
68,1680.3322172277112
69,1685.7432832047198
70,1664.8338810204732
71,1605.4458796166145
72,1425.6453076104517
73,1093.299872610005
74,960.1498343994899
75,900.8035884943092
76,917.7539690240665
77,943.1596257676283
78,999.660894200133
79,1160.6961472497787
80,1569.4745963305177
81,2017.9117576215795
82,1867.1951716034528
83,1810.6625847996183
84,1754.564371165805
85,1691.7657936582546
86,1495.8668462839705
87,1469.0108258454275
88,1456.6543580151047
89,1496.5905536856735
90,1521.1923927786702
91,1608.0500478624454
92,1690.4928848742857
93,1700.551523862814
94,1679.5032755370921
95,1615.2455253645603
96,1434.8990769057127
97,1087.8673438066908
98,901.4814814589627
99,740.797099615942
100,757.0666468692943
101,781.3402342521003
102,827.9243899408611
103,973.065110263502
104,1268.8997158375569
105,1637.0884964182333
106,1515.8402362285124
107,1459.6164048470964
108,1401.3862342742505
109,1345.4092458494706
110,1200.685045900551
111,1173.1120905207063
112,1168.2381864953495
113,1191.6972642012988
114,1216.6509840359504
115,1282.3561212126515
116,1319.9749413493846
117,1328.2530725177494
118,1318.6554126036353
119,1272.1286333774333
120,1128.3623114981747
121,836.1946505306405
122,692.119751265971
123,569.4526863984647
124,583.9499454639445
125,601.1713623759279
126,643.3926932303002
127,765.1190978097438
128,1095.6443016472913
129,1417.076515822002
130,1313.850767597498
131,1250.8322428576357
132,1199.9479406019382
133,1146.9567667841038
134,1049.8161002477282
135,1030.385181250138
136,1018.7679139372485
137,1041.004420849611
138,1068.0740460267698
139,1120.9207132084703
140,1226.4082195325173
141,1238.9320580938365
142,1233.039308243402
143,1185.336574778048
144,1050.7871318266552
145,764.9259394315595
146,643.444621218543
147,535.0656710658513
148,554.5270561244397
149,568.6231118608266
150,615.3174482921313
151,743.7106388415559
152,1023.7850948323612
153,1325.2564182251517
154,1230.0150263134274
155,1163.0043234171753
156,1111.4707708877104
157,1054.3354676461022
158,920.8829009503243
159,902.3291615371418
160,893.6435373566637
161,911.1562057212286
162,937.3173903739953
163,983.8095568010176
164,1042.9567987748887
165,1054.2230641805509
166,1052.7678517011227
167,1013.1199671713694
168,896.9646415384195
169,641.6895482412656
170,517.7914379350259
171,442.4217908543651
172,459.99522438124404
173,472.49274493491976
174,514.7824232308485
175,627.4619665738719
176,953.9027315091807
177,1234.5842171377735
178,1144.8146580680623
179,1074.6960385861457
180,1020.8496982436045
181,968.7785064063501
182,856.8340302366705
183,838.3970928605995
184,833.0571836177551
185,850.3527061187488
186,872.5664317874762
187,918.8150873226696
188,1036.684736507741
189,1048.6945625498192
190,1046.9728953666054
191,1008.8059787455131
192,893.0996578031336
193,635.5932205372374
194,528.6920742567454
195,496.13774705372634
196,515.3953884365037
197,529.3343554911553
198,575.5449971967901
199,702.6146398709388
200,1010.5807305951894
201,1302.1830782906036
202,1213.136231575685
203,1140.3350512595498
204,1084.0090048437123
205,1029.7155636842654
206,896.4454941422155
207,877.502206775127
208,868.7577464026108
209,886.6848942185752
210,913.4870574963279
211,960.933834360243
212,1020.5236785385641
213,1032.0782106085971
214,1030.5308720512257
215,993.6799958854681
216,875.0796006272722
217,621.9497181295301
218,502.0654360805347
219,432.37251437842497
220,450.4413552849146
221,463.3486133678816
222,510.6713751438947
223,630.2678500337643
224,949.1546880363894
225,1229.9791800579114
226,1142.914207823982
227,1064.036720952863
228,1005.346406937635
229,948.5139618930698
230,808.3658585644444
231,793.7787954727537
232,788.3406426758738
233,801.7350109664258
234,826.8861370181548
235,872.2849368225434
236,930.2553300231812
237,944.7235237107961
238,946.9269477261696
239,908.4215911559877
240,802.3742399970652
241,564.3018474528799
242,440.72303158795694
243,330.85631196951726
244,348.7973747290089
245,359.7094381917268
246,402.79843606974464
247,519.6482481345884
248,783.2206212017918
249,1015.0026741506299
250,944.8654234389542
251,867.1373560418142
252,811.3551895381534
253,758.4946043351083
254,644.1377572352067
255,630.5991049869335
256,624.8897407389013
257,637.0784603593638
258,659.8995444813627
259,698.85593486164
260,785.543412295403
261,802.8841136925039
262,805.0776815438876
263,774.8387007721467
264,680.9194574934663
265,470.8448475896148
266,369.15159314806806
267,353.20736035809387
268,370.2922677237075
269,382.4245635268744
270,424.63590318284696
271,537.3264664243325
272,829.8651135817636
273,1072.0755415935419
274,1000.0022566439584
275,922.8110702678678
276,866.6972440747777
277,812.2532028327696
278,749.3437428648467
279,737.8785745682544
280,731.1857529336703
281,746.9383530001505
282,773.4737749505439
283,816.8379276343039
284,895.3799900919548
285,910.9611569151166
286,916.907729936298
287,879.4010232851724
288,770.4611031838576
289,538.0552639543312
290,428.5235659276368
291,467.97112747846404
292,486.79959173337556
293,500.35523225856014
294,549.6234027832979
295,674.0186397273792
296,1042.5387322872994
297,1346.0220745751867
298,1253.5146824598196
299,1170.496230874618
300,1107.536514196603
301,1046.8376426841132
302,892.4337881926913
303,876.890521347581
304,868.2873799626832
305,886.6841312198667
306,914.2434364983346
307,962.5652080246364
308,1098.2498358056182
309,1111.783975919825
310,1113.85680233303
311,1069.0046637853375
312,943.7286661266699
313,670.0765404862468
314,539.3407281143009
315,544.5493033654056
316,564.4830778032192
317,578.9799852627912
318,626.7759473610204
319,753.854637203447
320,1086.3934949052637
321,1400.6644066349254
322,1304.4851182850543
323,1230.446233207127
324,1172.1845482481294
325,1111.8921038372791
326,962.5117409197264
327,943.0808219221071
328,934.4778966772137
329,953.0053947787383
330,980.769686698739
331,1029.3739394250442
332,1084.409828374104
333,1096.2811559023103
334,1094.610816463246
335,1053.0253798236372
336,931.9468054882018
337,667.9744314901764
338,520.4622074119397
339,425.2595800810959
340,443.0308486460126
341,455.72620423778426
342,500.68357806064887
343,618.0093294600374
344,916.2450817069621
345,1180.1094004067127
346,1099.6908916258253
347,1026.065489531844
348,969.2677044437733
349,918.062200558139
350,794.2184907653718
351,779.882974775508
352,771.0605251402594
353,787.6436610336532
354,808.8919960478088
355,853.5102634956129
356,929.2063210870838
357,943.7291504803579
358,945.9216473546112
359,907.2851650908706
360,803.1195755436784
361,567.4147336349124
362,434.22306838276563
363,343.650143054605
364,364.9449670902686
365,375.6120613408857
366,418.0861416636035
367,533.4794260832714
368,797.2867904489394
369,1030.5127525050775
370,958.419871928636
371,882.2424693502253
372,828.1042801961303
373,776.6374358793837
374,718.6395639395923
375,707.7394537145738
376,698.9170040793251
377,715.5001399727189
378,736.7484749868745
379,781.3667424346786
380,879.7810331556248
381,898.4907287554233
382,900.6644784384407
383,864.4136737345252
384,758.658281682001
385,527.7656412409269
386,414.3084832505556
387,379.3987063233508
388,397.519520500442
389,414.3637575453613
390,464.20722665969515
391,591.5477262969362
392,879.3464062541025
393,1134.451760638156
394,1057.018115212908
395,974.6113227233291
396,909.4541269220645
397,853.8151072586188
398,741.4186763415928
399,726.8479893395561
400,721.5015426448663
401,734.9122870250721
402,760.1027156920172
403,805.4458367914776
404,883.7747343598749
405,902.2350891618407
406,908.0366239572177
407,868.6295422980911
408,764.1228677434265
409,528.6753471650882
410,394.999695121136
411,320.41886567883193
412,342.21630655799527
413,353.2882192436955
414,398.1314582134946
415,515.2325966432691
416,757.1235943268985
417,976.8916983222007
418,908.1110847328673
419,831.6570498124929
420,771.6464237201144
421,720.1300549390144
422,646.9103784541367
423,636.2937324413215
424,627.2632134625455
425,643.1848299197736
426,665.1230693529942
427,701.8167767656269
428,766.4644009941258
429,783.6116073331214
430,789.2526255067205
431,755.9357411607052
432,660.925213007722
433,457.22365948645165
434,315.18352089321706
435,221.00099677051185
436,232.95656881522154
437,243.45008862495888
438,280.09498231863836
439,371.56576222658623
440,543.1969645359204
441,707.3480348903104
442,655.225669322419
443,592.4374894063221
