budget,livingArea,personCount,pvModel_maxPVCount,pvModel_pvPrice,pvModel_modulePVkWp,pvModel_roofAngle,pvModel_roofLength,pvModel_roofWidth,pvModel_pvModuleLength,pvModel_pvModuleWidth,batteryModel_maxBatteryCount,batteryModel_batteryPrice,batteryModel_batteryCapacity,batteryModel_batteryChargeRate,batteryModel_batteryDischargeRate,batteryModel_batteryEfficiency,batteryModel_batteryDegradation,heatPumpModel_heatPumpActivated,EVModel_hasEV,strategy,pvCount,batteryCount
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,0,0
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,0,1
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,0,2
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,0,3
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,0,4
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,0,5
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,0,6
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,0,7
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,0,8
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,0,9
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,0,10
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,1,0
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,1,1
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,1,2
50000.0,47.5,2,10,100.0,0.44,30.0,10.0,10.0,1.134,1.762,10,3000.0,5.0,0.5,0.5,0.98,0.001,True,False,0,1,3
