Index;year1;year2;year3;year4;year5;year6;year7;year8
42.0;-977.6329262378916;-2231.426225735142;-3843.255114721456;-5010.732954181299;-6127.652692683827;-8929.055554831162;-13048.84032854078;-15583.570566007276
44.0;-920.6790376847914;-2108.604813719961;-3639.0604098874865;-4739.14708545417;-5800.504098559738;-8471.141268316873;-12276.906265852513;-14692.906650312178
40.0;-1034.5315063383525;-2353.973351180167;-4047.43648797242;-5282.528596951435;-6455.003528313672;-9387.19269036996;-13820.430413471351;-16473.71617023327
41.0;-1006.594563952888;-2293.7012685913946;-3956.147646388633;-5165.445830706194;-6313.283227404275;-9187.993050122956;-13501.178671307895;-16101.044601900128
45.0;-891.9721657478091;-2047.1234968319427;-3545.637944374282;-4619.338561456072;-5655.722431684454;-8267.230785492087;-11945.907953100721;-14306.20669548807
43.0;-949.283956501203;-2170.4125937005288;-3750.8917225066457;-4892.3908814628185;-5984.502415402997;-8727.614213914076;-12723.555610459642;-15203.637608898354
